timestamp,lat,lon,accuracy
04,37.4870018,126.8535183,12.821
09,37.487007,126.8535178,12.702
14,37.4870094,126.8535168,13.26
17,37.4870065,126.8535206,13.915
20,37.4870103,126.8535209,13.898
23,37.4870121,126.8535165,13.791
29,37.4870121,126.8535147,13.896
34,37.4870196,126.8535131,39.537
39,37.4870125,126.8535175,26.665
42,37.4870108,126.8535179,13.761
45,37.4870087,126.8535178,13.804
50,37.4870064,126.8535169,14.001
53,37.4870124,126.8535143,13.476
56,37.4870156,126.8535143,13.215
59,37.4870222,126.8535127,12.78
