timestamp,lat,lon,accuracy
03,37.4861729,126.8949807,13.797
08,37.4861701,126.8950337,13.973
13,37.4861751,126.8950595,13.741
18,37.4861715,126.8950518,14.166
23,37.4861907,126.8950316,14.365
28,37.4862503,126.8950476,14.482
32,37.4862709,126.8950631,13.09
34,37.4864502,126.895152,12.884
37,37.4868427,126.8952866,9.369
40,37.4868655,126.8952677,5.333
43,37.4868498,126.8952402,4.2
46,37.4868404,126.8952229,5.16
49,37.4867949,126.8952139,5.905
53,37.4867313,126.8952311,8.048
56,37.4868213,126.8953061,12.578
59,37.4868866,126.8953594,12.672
