timestamp,lat,lon,accuracy
01,37.4792637,126.8550392,25.185
11,37.4795963,126.8540478,52.751
15,37.4795378,126.8542043,29.515
18,37.4794979,126.8544667,21.928
21,37.4794984,126.8545421,20.802
25,37.4795202,126.8544995,18.659
28,37.4795447,126.8544301,16.67
31,37.4795605,126.8544078,16.714
34,37.4795694,126.8543985,17.571
37,37.479568,126.8543627,17.847
39,37.4795616,126.8543264,17.676
42,37.4795566,126.8543116,18.94
45,37.4795591,126.8543081,22.334
48,37.479562,126.8543008,26.088
52,37.4795633,126.8542977,30.723
54,37.4795649,126.8542959,33.929
57,37.4795649,126.8542918,37.918
