timestamp,lat,lon,accuracy
00,37.4856129,126.8932585,4.0
03,37.4856289,126.8932253,4.0
06,37.4856485,126.8931806,4.0
09,37.4856628,126.8931439,4.0
12,37.4856813,126.8931094,3.75
15,37.4857178,126.8930913,5.23
18,37.4857523,126.8930732,6.102
21,37.48577,126.8930337,6.615
24,37.4857918,126.8929846,7.6
27,37.4858032,126.892946,6.666
30,37.4858288,126.8929184,5.142
33,37.4858422,126.8928984,4.0
36,37.4858622,126.8928756,4.0
39,37.4858778,126.892843,4.0
42,37.4858861,126.8927986,4.933
45,37.485876,126.8927368,7.333
48,37.4858966,126.8926832,8.0
51,37.4859649,126.8925929,8.0
54,37.4860044,126.8925309,7.857
57,37.4859792,126.8924815,7.241
