timestamp,lat,lon,accuracy
01,37.4868626,126.8952734,11.556
04,37.4868874,126.8952567,11.428
07,37.4868676,126.8952537,11.168
10,37.4868563,126.8952384,10.448
13,37.4868809,126.8952345,10.639
16,37.4868994,126.8952323,9.907
19,37.4869154,126.8952468,9.892
22,37.4869272,126.8952562,10.188
25,37.4869335,126.8952472,10.552
28,37.4869535,126.8952674,10.687
31,37.486951,126.8952328,10.841
35,37.4869457,126.8952029,11.212
38,37.4869241,126.8951879,11.26
42,37.4869128,126.8951935,12.882
45,37.4868918,126.8951812,13.234
48,37.4868593,126.8951685,13.137
51,37.4868413,126.89517,12.011
55,37.4868222,126.8951707,11.62
58,37.486819,126.8951695,12.591
