timestamp,lat,lon,accuracy
00,37.4863068,126.8917288,4.347
03,37.4863371,126.8916861,4.804
06,37.4863458,126.8916547,4.003
09,37.4863516,126.8916238,4.013
12,37.4863739,126.8915882,4.0
15,37.4863925,126.8915665,4.0
18,37.4864149,126.8915386,3.879
21,37.4864337,126.8915025,3.435
24,37.4864606,126.891478,3.69
27,37.4864813,126.891459,3.588
30,37.4865059,126.891431,3.158
33,37.4865135,126.8913717,3.196
36,37.4865064,126.8913143,3.211
39,37.4865027,126.8912684,3.245
42,37.4864999,126.8912309,3.32
45,37.4864912,126.8911736,3.46
48,37.4864827,126.8911271,3.914
51,37.4864776,126.8910845,4.09
54,37.4864878,126.89104,4.101
57,37.4865079,126.8910009,4.0
