timestamp,lat,lon,accuracy
01,37.4802498,126.8547494,15.289
04,37.4802744,126.8547557,13.581
09,37.4803167,126.8547698,13.727
17,37.4803445,126.8547804,12.718
22,37.480425,126.8547961,12.513
27,37.4804424,126.8548191,11.021
32,37.4804251,126.8548079,12.929
35,37.4881389,126.8730675,30.464
38,37.4881056,126.8730321,48.0
41,37.4878192,126.8727276,44.0
45,37.4804503,126.8547724,40.055
48,37.4804003,126.8547352,12.525
51,37.4804078,126.8546731,8.996
54,37.4804021,126.8546637,6.0
57,37.4804204,126.8546408,5.714
