timestamp,lat,lon,accuracy
03,37.4868107,126.8950641,11.323
06,37.4868662,126.8950838,10.219
09,37.4869114,126.8951507,12.449
13,37.4869285,126.8951988,12.212
18,37.4869121,126.8951968,14.819
23,37.4868909,126.8952,16.325
27,37.4868756,126.8951796,25.888
31,37.4868856,126.8952378,23.606
35,37.4868982,126.8952455,13.732
38,37.4869025,126.8952395,14.927
42,37.4868797,126.8952423,14.213
46,37.4868486,126.8952454,12.796
50,37.4868558,126.8952491,13.481
53,37.4868546,126.8952461,14.233
56,37.48685,126.8952287,13.936
