timestamp,lat,lon,accuracy
04,37.4869633,126.8953002,11.86
09,37.4869572,126.8952997,67.288
14,37.4869199,126.8952947,74.839
19,37.4869746,126.8953215,11.126
24,37.4869757,126.8953132,12.235
29,37.4869824,126.8953173,10.917
32,37.486972,126.8953116,11.571
37,37.4869203,126.8953191,11.898
40,37.486916,126.8953525,12.132
43,37.4869342,126.8953488,12.407
46,37.4869472,126.8953399,12.253
49,37.4869506,126.8953272,12.088
52,37.4869485,126.8953173,12.088
55,37.4869394,126.8953197,11.86
58,37.4869377,126.8953221,11.679
