timestamp,lat,lon,accuracy
01,37.4866647,126.8944111,8.767
04,37.4866827,126.8944303,9.104
07,37.4867152,126.8944478,9.798
10,37.4867537,126.8944487,9.594
13,37.4867853,126.8944427,9.206
16,37.4868069,126.8944346,9.335
19,37.4868338,126.8944249,9.553
22,37.4868732,126.8944177,9.291
25,37.4869198,126.8944307,8.884
27,37.4869504,126.8944467,9.032
30,37.4869794,126.8944805,9.047
33,37.4869897,126.8945118,8.685
36,37.487007,126.8945458,8.676
39,37.4870062,126.8945912,8.706
42,37.4870102,126.8946305,8.809
45,37.4870057,126.8946653,8.789
48,37.4869926,126.8947099,8.115
51,37.4869744,126.8947479,7.509
54,37.4869604,126.894771,7.626
57,37.486942,126.8948003,7.98
