timestamp,lat,lon,accuracy
01,37.4866937,126.8954082,14.357
04,37.4866701,126.895421,14.745
07,37.4866691,126.8954265,14.821
10,37.4866812,126.8954191,14.808
13,37.4866867,126.8954115,15.52
16,37.4866767,126.8954181,16.208
19,37.4866759,126.8954226,16.267
22,37.486686,126.895421,15.98
25,37.486683,126.8954248,15.345
28,37.4866765,126.8954279,15.774
31,37.4866651,126.8954321,16.397
34,37.4866839,126.8954175,15.687
37,37.486683,126.8954143,15.348
40,37.4866606,126.8954186,15.981
43,37.486655,126.8954151,16.145
46,37.4866398,126.8954148,15.979
49,37.4866167,126.8954206,16.746
52,37.4866096,126.8954189,16.93
55,37.4866092,126.8954152,16.133
58,37.4866206,126.8954143,15.83
