timestamp,lat,lon,accuracy
00,37.484371,126.8567324,8.236
03,37.4844143,126.8566637,10.069
06,37.4845129,126.8566649,9.638
09,37.484585,126.8567141,9.365
12,37.4846849,126.8567083,8.822
15,37.4847489,126.8566917,7.828
17,37.4848483,126.8567177,7.55
20,37.4852545,126.8566906,12.275
23,37.4856682,126.8566473,14.243
26,37.4860119,126.8566136,9.915
29,37.4862637,126.8565919,6.333
32,37.4865053,126.8565666,6.8
35,37.4867317,126.8565368,6.4
38,37.486925,126.8565164,6.8
41,37.4869673,126.8565115,7.847
44,37.4869645,126.8565139,11.672
47,37.4869604,126.856523,12.443
50,37.4869527,126.8565165,7.689
53,37.4869532,126.8565135,6.201
56,37.4869044,126.8565194,6.615
59,37.4868952,126.8565206,6.285
