timestamp,lat,lon,accuracy
02,37.4874411,126.8562095,2.316
05,37.4874422,126.8562091,3.758
08,37.4874431,126.8562064,3.773
11,37.487444,126.8562026,5.365
14,37.4874455,126.8562009,3.251
17,37.487446,126.8561996,3.215
20,37.4874474,126.8561973,3.357
23,37.4874506,126.8561928,3.267
26,37.4874523,126.8561905,3.285
29,37.4874537,126.8561858,3.237
32,37.4874483,126.8561634,4.394
35,37.4874476,126.8561499,5.2
38,37.4874483,126.8561452,4.0
41,37.4874482,126.8561428,4.102
44,37.487447,126.8561414,4.154
47,37.4874433,126.8561398,4.116
50,37.4874461,126.8561385,4.133
53,37.4874602,126.8561428,4.156
56,37.4874592,126.8561646,4.956
59,37.4874572,126.8561746,6.696
