timestamp,lat,lon,accuracy
00,37.4869046,126.895274,13.265
03,37.486906,126.8952738,13.096
06,37.4868813,126.8952703,12.576
09,37.4868647,126.8952705,11.449
12,37.4868625,126.8952713,10.885
15,37.4868656,126.8952665,10.705
18,37.4868651,126.8952585,10.57
21,37.4868656,126.8952476,10.599
24,37.4868674,126.8952463,10.614
27,37.4868989,126.895259,11.037
30,37.4869145,126.8952678,11.442
33,37.4869061,126.8952636,11.183
36,37.4868798,126.895257,10.713
39,37.4868733,126.8952583,10.644
42,37.4868734,126.8952608,10.626
45,37.4868708,126.8952604,10.595
48,37.4868695,126.8952603,10.576
51,37.4868706,126.8952622,10.599
54,37.4868707,126.8952635,10.561
57,37.4868707,126.895264,10.447
