timestamp,lat,lon,accuracy
00,37.4868662,126.8950947,14.427
03,37.4868229,126.8950864,13.801
06,37.4868259,126.8950746,12.898
09,37.4868387,126.8950577,11.687
12,37.4868538,126.8950402,10.368
15,37.4868646,126.8950198,10.225
18,37.4868749,126.8950048,9.835
21,37.4868902,126.8949996,10.118
23,37.4868817,126.8949981,10.49
26,37.4868823,126.8949894,11.347
28,37.4868768,126.8949956,12.642
32,37.4868809,126.8950013,14.725
35,37.4868826,126.8950271,14.835
38,37.486922,126.8950566,15.142
41,37.4869442,126.8950569,15.857
45,37.4869514,126.8950419,18.779
51,37.4869913,126.8952166,14.159
56,37.4869888,126.8952822,12.582
