timestamp,lat,lon,accuracy
00,37.4869555,126.8534335,12.182
03,37.4869635,126.8534442,12.488
06,37.4869688,126.8534519,12.755
09,37.4869708,126.853455,12.717
12,37.4869689,126.8534596,12.581
15,37.486976,126.8534771,12.801
18,37.4869712,126.853472,12.891
21,37.4869707,126.8534641,12.824
24,37.4869668,126.8534529,12.814
27,37.486968,126.8534511,12.722
30,37.4869606,126.8534412,12.552
33,37.4869651,126.8534522,12.276
36,37.4869691,126.8534562,12.57
39,37.486971,126.8534571,12.661
42,37.4869626,126.8534499,12.358
45,37.486959,126.8534458,12.087
48,37.4869637,126.8534546,12.398
51,37.4869686,126.8534576,12.608
54,37.4869635,126.8534461,12.498
57,37.4869586,126.853446,12.347
