timestamp,lat,lon,accuracy
00,37.4865154,126.8942146,4.125
03,37.4864765,126.8941728,4.2
06,37.4864301,126.8941379,8.566
09,37.4863921,126.8941484,7.23
12,37.4863716,126.8941237,8.083
15,37.4863406,126.8941294,7.649
18,37.4863199,126.8941137,6.2
21,37.4862802,126.8940938,6.02
24,37.486236,126.8940896,5.253
27,37.4861994,126.8940704,4.024
30,37.4861527,126.8940494,4.103
33,37.4861222,126.8940375,4.0
36,37.4860978,126.8940229,4.0
39,37.486092,126.89399,5.41
42,37.4860845,126.8939483,5.518
45,37.4860726,126.8939213,4.645
48,37.4860638,126.8939012,4.591
51,37.4860405,126.8938736,4.0
54,37.4860131,126.8938412,4.0
57,37.4859819,126.8938196,4.0
