timestamp,lat,lon,accuracy
00,37.4874044,126.8890331,4.097
03,37.4874163,126.8889915,4.097
06,37.4874344,126.8889486,4.056
09,37.4874503,126.8889003,4.0
12,37.4874779,126.8888477,4.086
15,37.4875125,126.8887759,4.0
18,37.4875364,126.8887146,4.0
21,37.4875417,126.8886749,4.105
24,37.4875343,126.8886591,4.0
27,37.4875329,126.8886505,4.0
30,37.4875315,126.8886368,4.0
33,37.4875227,126.8886213,4.0
36,37.487512,126.8886072,4.009
39,37.4874974,126.8885895,4.009
42,37.48748,126.8885858,4.787
49,37.4874541,126.8885832,8.447
54,37.4874392,126.8885776,26.532
