timestamp,lat,lon,accuracy
00,37.4865283,126.8909646,4.0
03,37.4865545,126.8909503,4.0
06,37.4865665,126.8909327,4.0
09,37.4865859,126.8909178,4.0
12,37.4866063,126.8909082,4.0
15,37.4866309,126.890886,4.0
18,37.486665,126.8908521,4.0
21,37.4867015,126.8908199,4.393
24,37.4867312,126.8907899,4.393
27,37.4867568,126.890753,4.0
30,37.4867736,126.8907283,4.179
33,37.4867914,126.8906954,4.001
36,37.4868131,126.8906579,3.654
39,37.4868371,126.8906185,3.201
42,37.4868607,126.8905864,3.172
45,37.4868875,126.8905604,3.141
48,37.4869167,126.8905291,3.207
51,37.4869487,126.8904996,3.15
54,37.4869776,126.8904658,3.154
57,37.4870079,126.8904195,3.25
