timestamp,lat,lon,accuracy
00,37.4870123,126.8560205,10.084
03,37.4870193,126.8560891,9.609
06,37.4870412,126.856157,9.374
09,37.4870845,126.8561989,9.116
12,37.4871463,126.8562168,8.854
15,37.4872074,126.8562235,8.844
18,37.4872552,126.8562123,8.981
20,37.4873028,126.856219,8.733
23,37.4873441,126.8562203,8.743
26,37.4873754,126.8562352,8.939
29,37.4874049,126.8562496,8.944
32,37.4874341,126.8562364,8.965
35,37.4874396,126.8562298,8.212
38,37.4874408,126.856224,7.541
41,37.4874414,126.856218,7.301
44,37.4874421,126.8562203,6.995
47,37.4874406,126.8562189,7.013
50,37.4874376,126.8562137,6.463
53,37.4874376,126.8562084,4.396
56,37.487438,126.8562086,3.771
59,37.4874397,126.8562094,6.083
