timestamp,lat,lon,accuracy
02,37.4855012,126.8929426,7.583
05,37.4854705,126.8929844,7.602
08,37.4854804,126.8930475,8.493
11,37.4855115,126.8931223,9.103
14,37.4855477,126.893185,9.382
17,37.4855826,126.8932827,9.224
20,37.4855963,126.8933731,8.648
23,37.4855954,126.8934394,8.508
26,37.4855945,126.8934985,8.515
29,37.4856079,126.8935406,7.952
32,37.4856424,126.8935816,7.607
35,37.4856805,126.8936132,7.599
38,37.4857169,126.8936423,7.601
41,37.4857451,126.8936668,7.328
44,37.4857773,126.8936957,7.21
47,37.4858137,126.8937246,7.204
50,37.4858462,126.8937527,7.386
53,37.4858673,126.893775,7.648
56,37.4858868,126.893802,7.954
59,37.4859126,126.893821,8.092
