timestamp,lat,lon,accuracy
02,37.4868569,126.8880441,23.367
05,37.4868379,126.8880365,21.623
08,37.4868282,126.8880365,19.418
11,37.486823,126.888031,18.773
14,37.4868143,126.888021,19.502
16,37.4868148,126.8880146,21.075
20,37.4868183,126.8880115,22.064
22,37.4868259,126.8880192,20.912
25,37.4868264,126.8880171,21.324
28,37.4868238,126.8880114,23.499
31,37.4868417,126.8880148,24.768
34,37.4868499,126.8880128,25.609
37,37.4868953,126.8880407,26.609
40,37.4869572,126.8880882,24.803
42,37.4869867,126.8881062,24.775
45,37.4870237,126.8881254,25.41
48,37.4870461,126.8881332,22.047
51,37.4870508,126.8881356,18.973
54,37.4870529,126.8881393,18.764
