timestamp,lat,lon,accuracy
01,37.4866919,126.8952179,11.919
06,37.4866845,126.8952189,11.488
12,37.4866981,126.8952076,11.484
17,37.486691,126.8952142,11.493
21,37.4866763,126.8952195,12.034
23,37.4866826,126.8952158,12.958
26,37.4866828,126.8952163,12.775
30,37.4866748,126.8952131,11.545
36,37.4866737,126.8952128,13.441
43,37.4867127,126.8952457,15.066
46,37.4867418,126.8952718,14.406
49,37.4867687,126.8952919,14.225
52,37.48679,126.8953101,14.249
55,37.4867929,126.8953204,14.401
58,37.4867953,126.8953236,14.203
