timestamp,lat,lon,accuracy
02,37.4862572,126.8564743,7.773
05,37.4862651,126.8564371,7.797
08,37.4862723,126.8563958,7.457
11,37.4862733,126.8563582,7.324
13,37.4862797,126.8563008,7.573
16,37.4862949,126.856259,7.789
19,37.4863093,126.8562222,7.602
22,37.4863165,126.8561827,7.586
25,37.4863238,126.8561243,8.055
28,37.4863305,126.8560825,8.069
31,37.4863359,126.8560532,8.125
33,37.4863484,126.8560078,8.561
36,37.4863526,126.8559721,8.737
39,37.486354,126.8559381,8.464
41,37.4863522,126.8558979,8.332
45,37.486345,126.8558566,8.35
48,37.4863412,126.8558153,8.301
51,37.4863428,126.8557882,8.222
54,37.4863387,126.8557865,7.531
57,37.4863454,126.8557711,7.176
