timestamp,lat,lon,accuracy
03,37.4867267,126.8949505,14.073
06,37.4861942,126.8945878,7.839
09,37.4861881,126.8945668,6.0
12,37.4862248,126.8945692,6.0
15,37.4862687,126.8945873,6.0
18,37.4862709,126.8945725,5.0
21,37.4862435,126.8945171,4.0
24,37.4862688,126.8945205,4.068
27,37.4863014,126.8945041,4.086
30,37.4863348,126.8944971,4.115
33,37.4863773,126.8944873,4.098
36,37.4864162,126.8944852,4.098
39,37.4864415,126.8944895,4.135
42,37.4864609,126.894485,4.143
45,37.4864922,126.894488,4.143
48,37.4865165,126.8944935,4.018
51,37.4865349,126.894485,4.0
54,37.4865532,126.8944719,4.161
57,37.486565,126.8944684,9.183
