timestamp,value
00.000,-44.47
00.015,-54.92
00.031,-66.53
00.046,-77.68
00.062,-86.8
00.078,-92.55
00.093,-94.23
00.109,-91.79
00.125,-85.48
00.140,-75.29
00.156,-60.71
00.171,-40.93
00.187,-15.46
00.203,15.04
00.218,48.39
00.234,81.18
00.250,109.3
00.265,128.95
00.281,137.33
00.296,133.29
00.312,117.74
00.328,93.76
00.343,66.18
00.359,40.69
00.375,22.29
00.390,13.4
00.406,12.74
00.421,15.24
00.437,13.62
00.453,0.79
00.468,-27.67
00.484,-71.97
00.500,-128.16
00.515,-189.47
00.531,-248.43
00.546,-298.74
00.562,-336.46
00.578,-360.29
00.593,-371.15
00.609,-371.39
00.625,-363.89
00.640,-351.37
00.656,-335.96
00.671,-319.14
00.687,-301.81
00.703,-284.48
00.718,-267.58
00.734,-251.47
00.750,-236.52
00.765,-223.14
00.781,-211.8
00.796,-202.88
00.812,-196.46
00.828,-191.99
00.843,-188.09
00.859,-182.71
00.875,-173.54
00.890,-158.83
00.906,-137.84
00.921,-111.13
00.937,-80.37
00.953,-47.77
00.968,-15.54
00.984,14.51
01.000,41.24
01.015,64.15
01.031,83.17
01.046,98.57
01.062,110.82
01.078,120.42
01.093,127.92
01.109,133.79
01.125,138.4
01.140,141.95
01.156,144.54
01.171,146.19
01.187,146.94
01.203,147.0
01.218,146.69
01.234,146.35
01.250,146.17
01.265,146.05
01.281,145.57
01.296,144.15
01.312,141.32
01.328,136.88
01.343,131.01
01.359,124.19
01.375,116.97
01.390,109.79
01.406,102.84
01.421,96.14
01.437,89.47
01.453,82.56
01.468,75.13
01.484,66.93
01.500,57.91
01.515,48.44
01.531,39.35
01.546,31.92
01.562,27.63
01.578,27.72
01.593,32.71
01.609,42.2
01.625,54.91
01.640,69.11
01.656,83.1
01.671,95.71
01.687,106.32
01.703,114.78
01.718,121.12
01.734,125.32
01.750,127.3
01.765,127.06
01.781,124.87
01.796,121.27
01.812,117.03
01.828,112.84
01.843,109.07
01.859,105.7
01.875,102.43
01.890,98.91
01.906,94.96
01.921,90.75
01.937,86.48
01.953,82.41
01.968,78.62
01.984,74.91
02.000,70.92
02.015,66.35
02.031,61.08
02.046,55.19
02.062,48.95
02.078,42.67
02.093,36.63
02.109,30.98
02.125,25.72
02.140,20.66
02.156,15.51
02.171,9.9
02.187,3.62
02.203,-3.29
02.218,-10.33
02.234,-16.54
02.250,-20.75
02.265,-21.87
02.281,-19.23
02.296,-12.91
02.312,-3.68
02.328,7.2
02.343,18.39
02.359,28.83
02.375,37.88
02.390,45.32
02.406,51.15
02.421,55.44
02.437,58.2
02.453,59.44
02.468,59.21
02.484,57.78
02.500,55.55
02.515,52.97
02.531,50.4
02.546,48.03
02.562,45.83
02.578,43.62
02.593,41.23
02.609,38.57
02.625,35.71
02.640,32.85
02.656,30.14
02.671,27.57
02.687,25.04
02.703,22.28
02.718,19.1
02.734,15.45
02.750,11.42
02.765,7.21
02.781,3.07
02.796,-0.88
02.812,-4.56
02.828,-8.0
02.843,-11.32
02.859,-14.73
02.875,-18.44
02.890,-22.68
02.906,-27.51
02.921,-32.71
02.937,-37.75
02.953,-41.79
02.968,-43.88
02.984,-43.21
03.000,-39.26
03.015,-32.04
03.031,-22.12
03.046,-10.47
03.062,1.65
03.078,13.05
03.093,22.84
03.109,30.62
03.125,36.4
03.140,40.42
03.156,42.97
