timestamp,value
00.000,14.05
00.015,16.62
00.031,18.45
00.046,19.55
00.062,19.97
00.078,19.84
00.093,19.4
00.109,18.96
00.125,18.71
00.140,18.73
00.156,18.91
00.171,19.1
00.187,19.31
00.203,19.71
00.218,20.5
00.234,21.74
00.250,23.23
00.265,24.61
00.281,25.53
00.296,25.82
00.312,25.55
00.328,25.03
00.343,24.54
00.359,24.22
00.375,24.15
00.390,24.24
00.406,24.39
00.421,24.52
00.437,24.48
00.453,24.11
00.468,23.29
00.484,21.97
00.500,20.32
00.515,18.75
00.531,17.78
00.546,17.75
00.562,18.74
00.578,20.32
00.593,21.73
00.609,22.13
00.625,20.92
00.640,17.98
00.656,13.75
00.671,9.02
00.687,4.62
00.703,1.18
00.718,-1.16
00.734,-2.62
00.750,-3.64
00.765,-4.65
00.781,-5.81
00.796,-7.08
00.812,-8.28
00.828,-9.19
00.843,-9.67
00.859,-9.66
00.875,-9.07
00.890,-7.79
00.906,-5.67
00.921,-2.55
00.937,1.5
00.953,6.25
00.968,11.22
00.984,15.95
01.000,20.06
01.015,23.45
01.031,26.22
01.046,28.53
01.062,30.57
01.078,32.37
01.093,33.9
01.109,35.11
01.125,36.05
01.140,36.92
01.156,37.94
01.171,39.3
01.187,41.05
01.203,43.16
01.218,45.57
01.234,48.32
01.250,51.49
01.265,55.08
01.281,58.81
01.296,62.0
01.312,63.69
01.328,62.89
01.343,59.12
01.359,52.57
01.375,44.24
01.390,35.51
01.406,27.79
01.421,21.99
01.437,18.37
01.453,16.76
01.468,16.73
01.484,17.9
01.500,20.02
01.515,22.95
01.531,26.48
01.546,30.3
01.562,33.99
01.578,37.23
01.593,39.85
01.609,41.84
01.625,43.29
01.640,44.36
01.656,45.17
01.671,45.78
01.687,46.21
01.703,46.48
01.718,46.55
01.734,46.42
01.750,46.14
01.765,45.75
01.781,45.41
01.796,45.27
01.812,45.41
01.828,45.77
01.843,46.09
01.859,45.95
01.875,44.8
01.890,42.02
01.906,36.86
01.921,28.49
01.937,16.24
01.953,-0.07
01.968,-19.79
01.984,-41.41
02.000,-62.72
02.015,-81.27
02.031,-94.96
02.046,-102.59
02.062,-104.18
02.078,-100.98
02.093,-95.04
02.109,-88.53
02.125,-82.96
02.140,-78.59
02.156,-74.29
02.171,-67.97
02.187,-57.58
02.203,-41.97
02.218,-21.7
02.234,0.96
02.250,22.52
02.265,39.05
02.281,47.02
02.296,43.97
02.312,29.02
02.328,3.07
02.343,-31.04
02.359,-68.99
02.375,-105.62
02.390,-136.0
02.406,-156.75
02.421,-166.9
02.437,-168.1
02.453,-163.84
