timestamp,value
00.000,-14.84
00.015,-17.23
00.031,-20.21
00.046,-23.85
00.062,-28.03
00.078,-32.27
00.093,-35.95
00.109,-38.33
00.125,-38.85
00.140,-37.26
00.156,-33.65
00.171,-28.41
00.187,-22.1
00.203,-15.26
00.218,-8.38
00.234,-1.89
00.250,3.92
00.265,8.77
00.281,12.51
00.296,15.04
00.312,16.4
00.328,16.68
00.343,16.04
00.359,14.64
00.375,12.68
00.390,10.43
00.406,8.19
00.421,6.28
00.437,4.88
00.453,4.01
00.468,3.47
00.484,3.0
00.500,2.34
00.515,1.35
00.531,0.05
00.546,-1.49
00.562,-3.21
00.578,-5.06
00.593,-7.03
00.609,-9.04
00.625,-10.99
00.640,-12.78
00.656,-14.39
00.671,-16.0
00.687,-17.97
00.703,-20.67
00.718,-24.3
00.734,-28.76
00.750,-33.62
00.765,-38.14
00.781,-41.53
00.796,-43.15
00.812,-42.62
00.828,-39.92
00.843,-35.29
00.859,-29.17
00.875,-22.04
00.890,-14.39
00.906,-6.7
00.921,0.53
00.937,6.87
00.953,11.99
00.968,15.72
00.984,18.07
01.000,19.24
01.015,19.48
01.031,19.06
01.046,18.13
01.062,16.79
01.078,15.11
01.093,13.27
01.109,11.52
01.125,10.12
01.140,9.27
01.156,8.94
01.171,8.93
01.187,8.9
01.203,8.55
01.218,7.61
01.234,5.97
01.250,3.63
01.265,0.65
01.281,-2.77
01.296,-6.42
01.312,-9.96
01.328,-13.11
01.343,-15.71
01.359,-17.82
01.375,-19.77
01.390,-21.97
01.406,-24.77
01.421,-28.18
01.437,-31.97
01.453,-35.55
01.468,-38.22
01.484,-39.35
01.500,-38.55
01.515,-35.74
01.531,-31.14
01.546,-25.21
01.562,-18.42
01.578,-11.27
01.593,-4.08
01.609,2.87
01.625,9.31
01.640,14.94
01.656,19.41
01.671,22.44
01.687,23.94
01.703,24.1
01.718,23.33
01.734,22.17
01.750,21.05
01.765,20.15
01.781,19.42
01.796,18.67
01.812,17.75
01.828,16.7
01.843,15.67
01.859,14.91
01.875,14.48
01.890,14.21
01.906,13.66
01.921,12.41
01.937,10.16
01.953,6.94
01.968,3.09
01.984,-0.94
02.000,-4.76
02.015,-8.17
02.031,-11.25
02.046,-14.21
02.062,-17.29
02.078,-20.66
02.093,-24.4
02.109,-28.51
02.125,-32.91
02.140,-37.42
02.156,-41.66
02.171,-45.09
02.187,-47.06
02.203,-46.96
02.218,-44.4
02.234,-39.44
02.250,-32.52
02.265,-24.38
02.281,-15.82
02.296,-7.47
02.312,0.34
02.328,7.54
02.343,14.16
02.359,20.1
02.375,25.15
02.390,28.95
02.406,31.28
02.421,32.15
02.437,31.87
02.453,30.92
02.468,29.71
02.484,28.46
02.500,27.22
02.515,26.0
02.531,24.83
02.546,23.84
02.562,23.12
02.578,22.71
02.593,22.44
02.609,22.0
02.625,21.12
02.640,19.62
02.656,17.54
02.671,15.09
02.687,12.46
02.703,9.68
02.718,6.71
02.734,3.41
02.750,-0.32
02.765,-4.41
02.781,-8.67
02.796,-12.78
02.812,-16.47
02.828,-19.67
02.843,-22.53
02.859,-25.43
02.875,-28.76
02.890,-32.76
02.906,-37.39
02.921,-42.21
02.937,-46.47
02.953,-49.23
02.968,-49.7
02.984,-47.39
03.000,-42.28
03.015,-34.84
03.031,-25.91
03.046,-16.4
03.062,-7.16
03.078,1.21
03.093,8.45
03.109,14.45
03.125,19.32
03.140,23.21
03.156,26.22
03.171,28.43
03.187,29.92
03.203,30.77
03.218,31.13
03.234,31.15
03.250,30.94
03.265,30.58
03.281,30.03
03.296,29.2
03.312,28.08
03.328,26.77
03.343,25.54
03.359,24.67
03.375,24.25
03.390,24.09
03.406,23.79
03.421,22.79
03.437,20.75
03.453,17.68
03.468,13.92
03.484,9.97
03.500,6.21
03.515,2.79
03.531,-0.42
03.546,-3.6
03.562,-6.89
03.578,-10.26
03.593,-13.62
03.609,-16.87
03.625,-20.05
03.640,-23.27
03.656,-26.68
03.671,-30.37
03.687,-34.29
03.703,-38.25
03.718,-41.92
03.734,-44.82
03.750,-46.42
03.765,-46.2
03.781,-43.82
03.796,-39.24
03.812,-32.7
03.828,-24.77
03.843,-16.17
03.859,-7.57
03.875,0.51
03.890,7.72
03.906,13.9
03.921,19.01
03.937,23.1
03.953,26.31
03.968,28.75
03.984,30.51
04.000,31.64
04.015,32.12
04.031,31.96
04.046,31.17
04.062,29.94
04.078,28.5
04.093,27.15
04.109,26.17
04.125,25.7
04.140,25.7
04.156,25.9
04.171,25.94
04.187,25.39
04.203,23.96
04.218,21.61
04.234,18.55
04.250,15.15
04.265,11.8
04.281,8.75
04.296,6.04
04.312,3.49
04.328,0.85
04.343,-2.11
04.359,-5.42
04.375,-8.92
04.390,-12.34
04.406,-15.43
04.421,-18.08
04.437,-20.4
04.453,-22.7
04.468,-25.4
04.484,-28.77
04.500,-32.91
04.515,-37.66
04.531,-42.56
04.546,-46.99
04.562,-50.24
04.578,-51.6
04.593,-50.55
04.609,-46.92
04.625,-40.9
04.640,-33.06
04.656,-24.25
04.671,-15.32
04.687,-6.91
04.703,0.67
04.718,7.38
04.734,13.3
04.750,18.37
04.765,22.5
04.781,25.55
04.796,27.47
04.812,28.44
04.828,28.77
04.843,28.75
04.859,28.56
04.875,28.22
04.890,27.63
04.906,26.8
04.921,25.88
04.937,25.13
04.953,24.8
04.968,24.98
04.984,25.47
05.000,25.93
05.015,25.95
05.031,25.27
05.046,23.8
05.062,21.66
05.078,19.05
05.093,16.24
05.109,13.39
05.125,10.6
05.140,7.94
05.156,5.39
05.171,2.86
05.187,0.27
05.203,-2.46
05.218,-5.43
05.234,-8.6
05.250,-11.88
05.265,-15.1
05.281,-18.07
05.296,-20.67
05.312,-22.98
05.328,-25.2
05.343,-27.63
05.359,-30.54
05.375,-33.98
05.390,-37.84
05.406,-41.8
05.421,-45.41
05.437,-48.18
05.453,-49.61
05.468,-49.25
05.484,-46.81
05.500,-42.16
05.515,-35.5
05.531,-27.32
05.546,-18.36
05.562,-9.44
05.578,-1.28
05.593,5.7
05.609,11.37
05.625,15.87
05.640,19.42
05.656,22.2
05.671,24.26
05.687,25.62
05.703,26.35
05.718,26.59
05.734,26.55
05.750,26.44
05.765,26.36
05.781,26.29
05.796,26.15
05.812,25.85
05.828,25.45
05.843,25.03
05.859,24.68
05.875,24.34
05.890,23.83
05.906,23.01
05.921,21.81
05.937,20.29
05.953,18.54
05.968,16.68
05.984,14.72
06.000,12.63
06.015,10.38
06.031,7.98
06.046,5.55
06.062,3.22
06.078,1.08
06.093,-0.9
06.109,-2.85
06.125,-4.92
06.140,-7.18
06.156,-9.53
