userId,timezone,date,startDt,endDt,lastUpdate,wakeupduration,lightsleepduration,deepsleepduration,wakeupcount,durationtosleep,remsleepduration,durationtowakeup,hr_average,hr_min,hr_max,rr_average,rr_min,rr_max,breathing_disturbances_intensity,snoring,snoringepisodecount,sleep_score
user24,Asia/Seoul,2020-08-30,1598708760,1598740860,1598748252,3840,13800,9000,3,1740,5280,0,72,63,82,15,10,20,10,840,1,86
user24,Asia/Seoul,2020-08-31,1598800140,1598825940,1598833333,4740,9540,6360,1,3180,4980,600,69,60,82,15,11,20,8,2700,3,52
user24,Asia/Seoul,2020-09-01,1598885940,1598908800,1598916190,1920,8760,4740,1,1440,7440,0,70,58,94,15,12,23,8,0,0,61
user24,Asia/Seoul,2020-09-02,1598979420,1598999580,1599006969,2760,7740,7440,1,1380,2220,0,68,60,80,15,12,19,-1,240,1,40
user24,Asia/Seoul,2020-09-03,1599060780,1599085980,1599093370,3900,11640,7620,1,1680,2040,600,71,61,83,15,11,25,7,300,1,55
user24,Asia/Seoul,2020-09-04,1599144120,1599168060,1599175452,1140,10320,5520,0,1140,6960,0,67,59,83,15,10,23,7,1620,3,79
user24,Asia/Seoul,2020-09-05,1599247200,1599275280,1599282670,3780,9720,6480,1,3120,8100,0,67,59,78,15,11,30,9,4500,3,72
user24,Asia/Seoul,2020-09-06,1599319380,1599349080,1599356470,2700,11460,9000,2,1620,6540,0,68,58,80,15,9,21,9,1800,2,82
user24,Asia/Seoul,2020-09-07,1599409200,1599427200,1599434592,1020,4500,6120,0,1020,6360,0,71,60,94,16,12,26,-1,0,0,36
user24,Asia/Seoul,2020-09-08,1599496860,1599513600,1599520989,2580,4080,7020,1,1440,3060,0,66,50,78,15,12,18,-1,1260,2,20
user24,Asia/Seoul,2020-09-09,1599577620,1599604200,1599611607,5220,9780,8700,2,4140,2880,0,69,60,80,14,9,20,8,180,1,53
user24,Asia/Seoul,2020-09-10,1599657780,1599690420,1599697816,4380,13500,8040,3,1080,6720,0,64,56,77,14,10,22,8,0,0,82
user24,Asia/Seoul,2020-09-11,1599756360,1599772800,1599780189,2340,3780,7560,0,2340,2760,0,70,59,82,15,11,22,-1,0,0,20
user24,Asia/Seoul,2020-09-12,1599848220,1599871920,1599879312,1860,4860,7260,0,1860,9720,0,68,54,79,14,11,18,9,0,0,59
user24,Asia/Seoul,2020-09-13,1599922920,1599953340,1599960729,3480,10620,9300,3,2220,6900,0,68,58,81,15,10,20,8,0,0,78
user24,Asia/Seoul,2020-09-14,1600012860,1600032000,1600039391,2940,4260,8160,1,1560,3780,0,66,57,82,15,11,21,-1,0,0,25
user24,Asia/Seoul,2020-09-15,1600096800,1600118400,1600125788,2880,6180,7080,2,2100,5460,0,68,58,84,15,12,22,9,240,1,39
user24,Asia/Seoul,2020-09-16,1600188000,1600209300,1600216821,3480,5280,7140,1,3120,5400,0,72,63,84,15,10,21,-1,180,1,35
