timestamp,hr
00.000,78.55
01.000,78.58
02.000,78.62
03.000,78.65
04.000,78.7
05.000,78.78
06.000,78.87
07.000,78.97
08.000,79.08
09.000,79.17
10.000,79.25
11.000,79.33
12.000,79.42
13.000,79.48
14.000,79.53
15.000,79.57
16.000,79.58
17.000,79.58
18.000,79.55
19.000,79.52
20.000,79.47
21.000,79.42
22.000,79.33
23.000,79.25
24.000,79.13
25.000,79.12
26.000,79.13
27.000,79.13
28.000,79.08
29.000,79.05
30.000,79.02
31.000,79.1
32.000,78.97
33.000,78.85
34.000,78.73
35.000,78.62
36.000,78.5
37.000,78.37
38.000,78.22
39.000,78.05
40.000,77.87
41.000,77.7
42.000,77.55
43.000,77.4
44.000,77.3
45.000,77.23
46.000,77.18
47.000,77.13
48.000,77.08
49.000,77.0
50.000,76.9
51.000,76.77
52.000,76.58
53.000,76.4
54.000,76.23
55.000,76.07
56.000,75.93
57.000,75.78
58.000,75.65
59.000,75.53
