timestamp,hr
00.000,85.47
01.000,85.87
02.000,86.25
03.000,86.75
04.000,87.25
05.000,87.73
06.000,88.12
07.000,88.37
08.000,88.67
09.000,88.95
10.000,89.27
11.000,89.72
12.000,90.1
13.000,90.47
14.000,90.7
15.000,90.95
16.000,91.22
17.000,91.45
18.000,91.58
19.000,91.65
20.000,91.72
21.000,91.75
22.000,91.8
23.000,91.98
24.000,92.12
25.000,92.25
26.000,92.42
27.000,92.6
28.000,92.78
29.000,92.9
30.000,93.03
31.000,93.13
32.000,93.12
33.000,93.15
34.000,93.2
35.000,93.2
36.000,93.18
37.000,93.02
38.000,92.82
39.000,92.68
40.000,92.33
41.000,91.88
42.000,91.42
43.000,90.98
44.000,90.53
45.000,90.03
46.000,89.55
47.000,89.1
48.000,88.67
49.000,88.37
50.000,88.05
51.000,87.83
52.000,87.63
53.000,87.43
54.000,87.22
55.000,87.02
56.000,86.82
57.000,86.58
58.000,86.38
59.000,86.17
