timestamp,hr
00.000,73.88
01.000,73.83
02.000,73.82
03.000,73.82
04.000,73.85
05.000,73.9
06.000,73.72
07.000,73.57
08.000,73.45
09.000,73.37
10.000,73.27
11.000,73.28
12.000,73.27
13.000,73.38
14.000,73.47
15.000,73.53
16.000,73.57
17.000,73.58
18.000,73.58
19.000,73.58
20.000,73.58
21.000,73.62
22.000,73.68
23.000,73.8
24.000,73.9
25.000,73.95
26.000,74.02
27.000,73.98
28.000,73.97
29.000,73.92
30.000,73.88
31.000,73.83
32.000,73.8
33.000,73.78
34.000,73.75
35.000,73.68
36.000,73.62
37.000,73.5
38.000,73.38
39.000,73.25
40.000,73.1
41.000,72.97
42.000,72.77
43.000,72.53
44.000,72.32
45.000,72.13
46.000,72.33
47.000,72.53
48.000,72.87
49.000,73.18
50.000,73.48
51.000,73.73
52.000,73.98
53.000,74.18
54.000,74.38
55.000,74.55
56.000,74.73
57.000,74.88
58.000,75.07
59.000,75.2
