timestamp,hr
00.000,63.93
01.000,64.0
02.000,64.05
03.000,64.08
04.000,64.12
05.000,64.2
06.000,64.3
07.000,64.47
08.000,64.67
09.000,64.92
10.000,65.17
11.000,65.42
12.000,65.8
13.000,66.22
14.000,66.65
15.000,67.13
16.000,67.67
17.000,68.18
18.000,68.7
19.000,69.23
20.000,69.75
21.000,70.28
22.000,70.83
23.000,71.33
24.000,71.72
25.000,72.07
26.000,72.5
27.000,72.95
28.000,73.52
29.000,74.1
30.000,74.72
31.000,75.18
32.000,75.68
33.000,76.0
34.000,76.35
35.000,76.68
36.000,76.97
37.000,77.28
38.000,77.62
39.000,77.83
40.000,78.17
41.000,78.5
42.000,78.77
43.000,79.03
44.000,79.32
45.000,79.58
46.000,79.95
47.000,80.25
48.000,80.55
49.000,80.92
50.000,81.27
51.000,81.6
52.000,81.88
53.000,82.18
54.000,82.5
55.000,82.57
56.000,82.58
57.000,82.6
58.000,82.58
59.000,82.62
