timestamp,hr
00.000,76.93
01.000,76.97
02.000,76.95
03.000,76.9
04.000,76.83
05.000,76.75
06.000,76.65
07.000,76.57
08.000,76.55
09.000,76.52
10.000,76.53
11.000,76.55
12.000,76.6
13.000,76.67
14.000,76.75
15.000,76.75
16.000,76.73
17.000,76.72
18.000,76.75
19.000,76.8
20.000,76.85
21.000,76.92
22.000,77.0
23.000,77.08
24.000,77.23
25.000,77.27
26.000,77.38
27.000,77.5
28.000,77.58
29.000,77.92
30.000,78.27
31.000,78.63
32.000,78.95
33.000,79.32
34.000,79.65
35.000,79.95
36.000,80.07
37.000,80.2
38.000,80.3
39.000,80.4
40.000,80.47
41.000,80.45
42.000,80.52
43.000,80.53
44.000,80.55
45.000,80.55
46.000,80.52
47.000,80.38
48.000,80.3
49.000,80.22
50.000,80.12
51.000,80.02
52.000,79.9
53.000,79.85
54.000,79.85
55.000,79.83
56.000,79.83
57.000,79.87
58.000,79.92
59.000,79.97
