timestamp,hr
00.000,61.13
01.000,61.05
02.000,60.93
03.000,60.88
04.000,60.78
05.000,60.67
06.000,60.55
07.000,60.38
08.000,60.15
09.000,59.95
10.000,59.7
11.000,59.47
12.000,59.3
13.000,59.15
14.000,59.0
15.000,58.9
16.000,58.82
17.000,58.73
18.000,58.62
19.000,58.42
20.000,58.2
21.000,57.98
22.000,57.8
23.000,57.62
24.000,57.48
25.000,57.33
26.000,57.27
27.000,57.28
28.000,57.28
29.000,57.3
30.000,57.3
31.000,57.28
32.000,57.28
33.000,57.27
34.000,57.13
35.000,57.03
36.000,56.93
37.000,56.85
38.000,56.82
39.000,56.87
40.000,56.92
41.000,56.95
42.000,56.98
43.000,57.1
44.000,57.33
45.000,57.47
46.000,57.53
47.000,57.62
48.000,57.88
49.000,58.15
50.000,58.4
51.000,58.68
52.000,59.0
53.000,59.3
54.000,59.62
55.000,59.98
56.000,60.32
57.000,60.7
58.000,61.13
59.000,61.6
