timestamp,hr
00.000,82.83
01.000,82.83
02.000,82.8
03.000,82.75
04.000,82.7
05.000,82.67
06.000,82.65
07.000,82.52
08.000,82.33
09.000,82.15
10.000,81.98
11.000,81.83
12.000,81.68
13.000,81.55
14.000,81.28
15.000,81.02
16.000,80.78
17.000,80.58
18.000,80.38
19.000,80.2
20.000,80.05
21.000,79.83
22.000,79.6
23.000,79.37
24.000,79.02
25.000,78.72
26.000,78.43
27.000,78.17
28.000,77.93
29.000,77.67
30.000,77.45
31.000,77.2
32.000,76.92
33.000,76.62
34.000,76.25
35.000,75.88
36.000,75.5
37.000,75.13
38.000,74.77
39.000,74.65
40.000,74.63
41.000,74.6
42.000,74.5
43.000,74.47
44.000,74.55
45.000,74.63
46.000,74.73
47.000,74.82
48.000,74.9
49.000,74.93
50.000,74.95
51.000,74.95
52.000,74.95
53.000,74.92
54.000,74.88
55.000,74.83
56.000,74.83
57.000,74.85
58.000,74.92
59.000,74.98
