timestamp,hr
00.000,76.33
01.000,75.93
02.000,75.72
03.000,75.47
04.000,75.27
05.000,75.0
06.000,74.78
07.000,74.6
08.000,74.47
09.000,74.35
10.000,74.3
11.000,74.33
12.000,74.38
13.000,74.4
14.000,74.52
15.000,74.6
16.000,74.77
17.000,74.85
18.000,75.0
19.000,75.17
20.000,75.35
21.000,75.65
22.000,75.93
23.000,76.18
24.000,76.42
25.000,76.67
26.000,76.87
27.000,76.97
28.000,77.07
29.000,77.17
30.000,77.2
31.000,77.25
32.000,77.33
33.000,77.4
34.000,77.55
35.000,77.65
36.000,77.78
37.000,77.87
38.000,77.9
39.000,78.03
40.000,78.17
41.000,78.32
42.000,78.42
43.000,78.5
44.000,78.6
45.000,78.55
46.000,78.53
47.000,78.53
48.000,78.53
49.000,78.53
50.000,78.52
51.000,78.48
52.000,78.48
53.000,78.43
54.000,78.48
55.000,78.52
56.000,78.62
57.000,78.72
58.000,78.85
59.000,79.0
