timestamp,hr
00.000,87.3
01.000,87.68
02.000,88.08
03.000,88.52
04.000,89.0
05.000,89.38
06.000,89.73
07.000,90.08
08.000,90.45
09.000,90.85
10.000,91.1
11.000,91.32
12.000,91.65
13.000,92.0
14.000,92.37
15.000,92.77
16.000,93.13
17.000,93.5
18.000,93.88
19.000,94.33
20.000,94.78
21.000,95.22
22.000,95.63
23.000,96.03
24.000,96.47
25.000,96.9
26.000,97.25
27.000,97.55
28.000,97.88
29.000,98.23
30.000,98.57
31.000,99.43
32.000,99.62
33.000,99.72
34.000,99.82
35.000,99.92
36.000,100.0
37.000,100.1
38.000,100.03
39.000,99.98
40.000,100.0
41.000,100.07
42.000,100.12
43.000,100.17
44.000,100.18
45.000,100.2
46.000,100.2
47.000,100.08
48.000,99.95
49.000,99.78
50.000,99.6
51.000,99.38
52.000,99.17
53.000,98.93
54.000,98.7
55.000,98.5
56.000,98.27
57.000,97.98
58.000,97.68
59.000,97.4
