timestamp,hr
00.000,97.13
01.000,96.58
02.000,96.05
03.000,95.58
04.000,95.02
05.000,94.48
06.000,93.95
07.000,93.55
08.000,93.12
09.000,92.67
10.000,92.37
11.000,92.05
12.000,91.75
13.000,91.42
14.000,91.07
15.000,90.72
16.000,90.38
17.000,90.08
18.000,89.8
19.000,89.52
20.000,89.23
21.000,89.0
22.000,88.77
23.000,88.55
24.000,88.33
25.000,88.13
26.000,88.0
27.000,87.77
28.000,87.47
29.000,87.13
30.000,86.78
31.000,86.25
32.000,85.72
33.000,85.27
34.000,84.82
35.000,84.38
36.000,84.02
37.000,83.65
38.000,83.35
39.000,83.1
40.000,82.82
41.000,82.5
42.000,82.13
43.000,81.75
44.000,81.37
45.000,81.0
46.000,80.67
47.000,80.43
48.000,80.15
49.000,79.87
50.000,79.58
51.000,79.32
52.000,79.07
53.000,78.83
54.000,78.6
55.000,78.3
56.000,77.98
57.000,77.7
58.000,77.45
59.000,77.27
