timestamp,hr
00.000,75.83
01.000,75.82
02.000,75.98
03.000,75.98
04.000,76.07
05.000,76.15
06.000,76.22
07.000,76.33
08.000,76.38
09.000,76.48
10.000,76.62
11.000,76.68
12.000,76.7
13.000,76.68
14.000,76.67
15.000,76.53
16.000,76.45
17.000,76.32
18.000,76.13
19.000,75.87
20.000,75.6
21.000,75.37
22.000,75.13
23.000,74.93
24.000,74.72
25.000,74.5
26.000,74.35
27.000,74.25
28.000,74.13
29.000,74.03
30.000,73.88
31.000,73.75
32.000,73.6
33.000,73.45
34.000,73.32
35.000,73.3
36.000,73.3
37.000,73.33
38.000,73.4
39.000,73.5
40.000,73.7
41.000,73.93
42.000,74.12
43.000,74.38
44.000,74.63
45.000,74.87
46.000,75.08
47.000,75.15
48.000,75.23
49.000,75.28
50.000,75.43
51.000,75.62
52.000,75.85
53.000,76.08
54.000,76.3
55.000,76.53
56.000,76.83
57.000,77.07
58.000,77.28
59.000,77.58
