timestamp,hr
00.000,67.43
01.000,67.03
02.000,66.53
03.000,66.43
04.000,66.28
05.000,66.2
06.000,66.13
07.000,66.03
08.000,65.95
09.000,65.9
10.000,65.85
11.000,65.87
12.000,65.9
13.000,65.95
14.000,65.98
15.000,65.83
16.000,65.72
17.000,65.62
18.000,65.58
19.000,65.65
20.000,65.68
21.000,65.77
22.000,65.98
23.000,66.18
24.000,66.43
25.000,66.67
26.000,66.92
27.000,66.98
28.000,67.03
29.000,67.0
30.000,66.98
31.000,67.05
32.000,67.2
33.000,67.43
34.000,67.68
35.000,67.97
36.000,68.2
37.000,68.5
38.000,68.85
39.000,69.22
40.000,69.62
41.000,70.02
42.000,70.45
43.000,70.88
44.000,71.33
45.000,71.67
46.000,72.02
47.000,72.35
48.000,72.7
49.000,73.05
50.000,73.37
51.000,73.75
52.000,74.17
53.000,74.57
54.000,74.97
55.000,75.4
56.000,75.83
57.000,76.27
58.000,76.7
59.000,77.13
