timestamp,hr
00.000,104.57
01.000,104.67
02.000,104.77
03.000,104.83
04.000,104.9
05.000,104.93
06.000,104.93
07.000,104.92
08.000,104.87
09.000,104.8
10.000,104.75
11.000,104.73
12.000,104.72
13.000,104.72
14.000,104.73
15.000,104.75
16.000,104.75
17.000,104.77
18.000,104.78
19.000,104.82
20.000,104.87
21.000,104.93
22.000,105.0
23.000,105.07
24.000,105.15
25.000,105.25
26.000,105.35
27.000,105.45
28.000,105.57
29.000,105.65
30.000,105.7
31.000,105.78
32.000,105.9
33.000,106.05
34.000,106.15
35.000,106.23
36.000,106.3
37.000,106.38
38.000,106.45
39.000,106.48
40.000,106.47
41.000,106.45
42.000,106.43
43.000,106.45
44.000,106.48
45.000,106.53
46.000,106.43
47.000,106.45
48.000,106.47
49.000,106.47
50.000,106.4
51.000,106.33
52.000,106.32
53.000,106.42
54.000,106.42
55.000,106.38
56.000,106.35
57.000,106.33
58.000,106.32
59.000,106.33
