timestamp,hr
00.000,84.05
01.000,84.1
02.000,84.1
03.000,84.02
04.000,83.97
05.000,83.9
06.000,83.83
07.000,83.77
08.000,83.68
09.000,83.65
10.000,83.65
11.000,83.62
12.000,83.55
13.000,83.42
14.000,83.32
15.000,83.2
16.000,83.05
17.000,82.9
18.000,82.85
19.000,82.8
20.000,82.75
21.000,82.55
22.000,82.32
23.000,82.07
24.000,82.0
25.000,81.88
26.000,81.72
27.000,81.52
28.000,81.28
29.000,81.05
30.000,80.88
31.000,80.62
32.000,80.33
33.000,80.03
34.000,79.73
35.000,79.58
36.000,79.43
37.000,79.27
38.000,79.12
39.000,78.97
40.000,78.75
41.000,78.55
42.000,78.38
43.000,78.25
44.000,78.15
45.000,78.1
46.000,78.02
47.000,77.95
48.000,77.92
49.000,77.93
50.000,77.98
51.000,78.03
52.000,78.05
53.000,78.07
54.000,78.1
55.000,78.27
56.000,78.4
57.000,78.5
58.000,78.6
59.000,78.68
