timestamp,x,y,z
00.013,-0.083799616,0.12929083,9.845258
00.034,-0.090982445,0.14126222,9.818921
00.074,-0.08858817,0.12689656,9.826104
00.114,-0.09577099,0.14126222,9.830893
00.136,-0.07901107,0.14605077,9.833286
00.174,-0.083799616,0.12450229,9.818921
00.214,-0.08140534,0.12689656,9.826104
00.235,-0.08858817,0.14605077,9.8237095
00.273,-0.07901107,0.13886794,9.840469
00.313,-0.08140534,0.15562786,9.809344
00.333,-0.09577099,0.1340794,9.835681
00.373,-0.076616794,0.1340794,9.842864
00.414,-0.0670397,0.14126222,9.816526
00.434,-0.09577099,0.14126222,9.840469
00.476,-0.0670397,0.12929083,9.816526
00.501,-0.071828246,0.12450229,9.826104
00.535,-0.09337672,0.1340794,9.828498
00.576,-0.090982445,0.13647367,9.826104
00.618,-0.08619389,0.14126222,9.835681
00.636,-0.083799616,0.1340794,9.859624
00.673,-0.083799616,0.13647367,9.840469
00.716,-0.07901107,0.11971374,9.818921
00.736,-0.083799616,0.14126222,9.828498
00.774,-0.08619389,0.13168511,9.811738
00.804,-0.08619389,0.14844504,9.840469
00.836,-0.07422252,0.14844504,9.835681
00.875,-0.071828246,0.14605077,9.838076
00.915,-0.083799616,0.15802214,9.830893
00.956,-0.098165266,0.14605077,9.838076
00.976,-0.090982445,0.15323359,9.811738
01.016,-0.07901107,0.12929083,9.816526
01.056,-0.06943397,0.16041641,9.830893
01.075,-0.08858817,0.13886794,9.816526
01.105,-0.083799616,0.1340794,9.818921
01.157,-0.07901107,0.12689656,9.859624
01.173,-0.08858817,0.1340794,9.828498
01.219,-0.08619389,0.1340794,9.835681
01.253,-0.08140534,0.12929083,9.814133
01.273,-0.08140534,0.13886794,9.814133
01.315,-0.09337672,0.12929083,9.830893
01.354,-0.08619389,0.14605077,9.835681
01.375,-0.06943397,0.13168511,9.830893
01.413,-0.08140534,0.12929083,9.8237095
01.454,-0.08619389,0.13886794,9.826104
01.495,-0.062251143,0.13168511,9.845258
01.517,-0.102953814,0.14365649,9.840469
01.555,-0.08140534,0.12689656,9.850046
01.596,-0.083799616,0.12689656,9.838076
01.618,-0.076616794,0.13886794,9.821315
01.654,-0.083799616,0.13168511,9.8237095
01.695,-0.071828246,0.1340794,9.840469
01.714,-0.08140534,0.13647367,9.842864
01.759,-0.07901107,0.15323359,9.833286
01.798,-0.076616794,0.1340794,9.840469
01.815,-0.08858817,0.12689656,9.8237095
01.856,-0.083799616,0.11971374,9.816526
01.894,-0.071828246,0.12929083,9.797373
01.916,-0.08140534,0.13647367,9.802161
01.953,-0.07422252,0.117319465,9.79019
01.994,-0.083799616,0.1340794,9.835681
02.014,-0.06464542,0.12210801,9.80695
02.055,-0.10055954,0.13168511,9.830893
02.094,-0.071828246,0.1340794,9.840469
02.114,-0.071828246,0.117319465,9.828498
02.154,-0.08140534,0.13886794,9.833286
02.194,-0.08619389,0.11253092,9.802161
02.217,-0.08140534,0.12929083,9.840469
02.253,-0.07422252,0.15083931,9.826104
02.293,-0.08619389,0.117319465,9.814133
02.333,-0.08619389,0.14365649,9.809344
02.353,-0.07901107,0.14365649,9.876384
02.393,-0.07422252,0.12450229,9.744699
02.433,-0.076616794,0.13886794,9.859624
02.454,-0.07422252,0.15323359,9.828498
02.493,-0.07901107,0.12450229,9.8548355
02.536,-0.090982445,0.14605077,9.842864
02.555,-0.083799616,0.11492519,9.850046
02.594,-0.08140534,0.14844504,9.811738
02.636,-0.076616794,0.12689656,9.809344
02.654,-0.07422252,0.13647367,9.833286
02.696,-0.07901107,0.11971374,9.8237095
02.733,-0.07422252,0.13886794,9.847652
02.754,-0.08619389,0.12689656,9.842864
02.793,-0.071828246,0.12210801,9.838076
02.834,-0.08140534,0.1340794,9.842864
